n,gasUsed,gasPerAddress,effGasPriceWei,feeUsdc,tx,funded
1,64681,64681,32500000000,0.002102133,0x67864250ea44465ced28829fa310c66f3746f43a3ff75b7dd3b64732b75ab5e6,1
10,450831,45083,20001000000,0.009017071,0xeca586ea70ecff47d03941d2c3b6973af7c9d6c73929650fa041ef21ebc45d7f,10
50,2167267,43345,20100000000,0.043562067,0x3c9a151b56225aefc84233f3e97653c8b9596f9c2b99c0e538f91ae96637b8bc,50
